blind_item_id,visible_state,current_user_text,candidate_move,atomicity,state_appropriateness,boundary_compatibility,executability,leakage,redundancy_near_duplicate,rationale,reviewer_id
rs_semblind_f76f0a4abe3c1482e9b70d67,"seeker: Im having some issues with friendships. It has me down. The other day I had called a couple of friends to go have lunch together since we havent seen each other in a while and everyone said No due to covid
seeker: But today I called another friend and everybody were out together but didnt include me
supporter: that really sucks how they pulled that excuse on you
supporter: did your other friend tell you why they did that?
seeker: No they just said they just thought I was busy and couldn't attend
seeker: so im bitter sad about the situation and don't how to address it","No they just said they just thought I was busy and couldn't attend
so im bitter sad about the situation and don't how to address it",acknowledge that the user is in a busy time of the semester,,,,,,,,
rs_semblind_64f673948f7289c523039037,"seeker: A lot of selfish people inviting others indoors or going out, even a few months ago when the cases were just dropping and they didn't take enough time to wait but immediately lift their own restriction and go out.
supporter: I'm also sick of the repetition too. Everyday I go to work then go home and just get stuck there all nigh every day. However, we need to tell ourselves that this too shall pass
seeker: But even when there were a lot of cases, there are some people on my floor that walked freely in and out many times in one day when it wasn't safe for anyone. And I didn't get that at all and that was when I was angry and anxious of their actions.
seeker: Because that risked my safety too
seeker: sorry to hear that you have similar repetitions. That's how it feels. Everyday is the same. And when I talk with my folks on the phone, I have nothing new to share except about the pandemic, because that's the only thing new, and I only call the once a week.
seeker: But yes, I do believe that it will pass at some point.","But even when there were a lot of cases, there are some people on my floor that walked freely in and out many times in one day when it wasn't safe for anyone. And I didn't get that at all and that was when I was angry and anxious of their actions.
Because that risked my safety too
sorry to hear that you have similar repetitions. That's how it feels. Everyday is the same. And when I talk with my folks on the phone, I have nothing new to share except about the pandemic, because that's the only thing new, and I only call the once a week.
But yes, I do believe that it will pass at some point.",encourage the user to initiate conversations with others about shared concerns,,,,,,,,
rs_semblind_ee49e98cce3e5a1edad935d8,"supporter: Hello, how are you?
supporter: Anyone there?
seeker: Hi how are you?
supporter: Hi! so nice to chat with you today.
seeker: I am haing a difficult time with COVID-19. I want to go out but can't. And I'm an introvert.",I am haing a difficult time with COVID-19. I want to go out but can't. And I'm an introvert.,disclose effort to practice mindfulness despite challenges,,,,,,,,
rs_semblind_3e7b060327f86e00b43b2ede,"seeker: She does not mind snow either
seeker: It is chilly but ok
supporter: Ok. My dog, Phineas, love the snow!
seeker: Garbo hates small animals also. Especially skunks
supporter: Oh Garbo! Hahahaha! She sounds wonderful!
seeker: She has been sprayed 4 times",She has been sprayed 4 times,express a closing sentiment,,,,,,,,
rs_semblind_4b1fea8fa5bd09e98624c408,"seeker: Hello
supporter: Hello, how are you doing today?
seeker: I was looking for some assistance. I lost my job 4 month ago",I was looking for some assistance. I lost my job 4 month ago,share that it is a difficult time to be job hunting,,,,,,,,
rs_semblind_090eb931cc3ce38571873613,"supporter: Ohhh really. But women have a equal rights as men.
seeker: yes your corret i am equal rights as men
seeker: and then thanks for support my feeling
supporter: Women's are succeeding in all the fields now a days.
seeker: yes. but somewhat difficult in a days
seeker: but i believe after some days that issue will sloved","yes. but somewhat difficult in a days
but i believe after some days that issue will sloved",acknowledge shared thinking with the user,,,,,,,,
rs_semblind_3fd535a59921ab84326c7875,"seeker: I worry for my children.
seeker: This is not their fault yet they are suffering.
seeker: What would you do?
seeker: How are you?
supporter: I can imagine how difficult money can be during the pandemic as I had trouble looking for good jobs too.
seeker: Thank you!",Thank you!,acknowledge the shared difficulty of the situation,,,,,,,,
rs_semblind_b481c8e57386dfcd97b38086,"seeker: Hello
supporter: Hey! How are you?
seeker: I am hanging in there, how are you doing?
supporter: Im doing good :) How you doing hanging in there?
seeker: Well, I have been dealing with insomnia, and that is pretty much ruining my day lately.","Well, I have been dealing with insomnia, and that is pretty much ruining my day lately.",ask if sleeping difficulties are becoming a concern,,,,,,,,
rs_semblind_8d1dd38423f963ae71542d90,"supporter: What would you like to talk about?
seeker: I talk about my friends and my life
supporter: We have talked about your friends and your life and you feel like you have a plan moving forward.
seeker: Yes i have plan move for my with my own rules
supporter: You're going to move on by your own rules. Tell me more?
seeker: I have independted life",I have independted life,share a personal activity for me time,,,,,,,,
rs_semblind_b321a36274d20c917b892554,"supporter: Ah I understand, is there any temporary financial support available for you and your family?
supporter: If I may suggest this, you can look into programs that help re-employ or support laid off workers in your country.
seeker: Currently i have no support apart from the meagre earnings of my wife
seeker: I have looked into it, applied but have not been fortunate to get one yet
supporter: I completely understand, I would also feel anxious if I were in this situation. It's an honorable thing that you've taken the initiative and are working hard to support your family.
seeker: Sure. I really need your support on how to manage the anxiety because despite constant reassurance from my wife, i still feel i am letting down my family as a man","Sure. I really need your support on how to manage the anxiety because despite constant reassurance from my wife, i still feel i am letting down my family as a man",offer reassurance about the user's temporary financial security,,,,,,,,
rs_semblind_f1490e11b986838f96f54311,"seeker: Just a couple weeks ago, he brought me a giant care package full of food and snacks to help keep me going and relieve the boredom.
supporter: can you sign language the service and send it back for the church to reach others
seeker: No... I'm not fluent enough for that. I do the songs because I can research them and practice ahead.
seeker: I can't interpret.
supporter: Do u have away to record the service and sign language. Sign language the songs
seeker: I am blessed to have friends who give me technical advice. I have a friend who is a certified interpreter who has sent me video showing me the correct way to sign certain songs.",I am blessed to have friends who give me technical advice. I have a friend who is a certified interpreter who has sent me video showing me the correct way to sign certain songs.,express holiday greetings,,,,,,,,
rs_semblind_a0f1967dc4cea30d1fd0bca1,"supporter: okay. at lease seeing them in the video should have brought you some relief. Are you planning to get vaccinated when you are able to? And what about your friends? once you are vaccinated, it will help you meet your friends in person.
seeker: Yes we are planning to get it as soon as possible but that is hard in our state
supporter: oh okay. Have you tried checking with your friends to see if you could meet in person but still maintain social distance and wear masks, etc.
seeker: None of them are really comfortable with that sadly
supporter: oh okay, have you discussed anything with your friends to see if you find any alternative way of meeting?
seeker: I have tried but we don't have many ideas",I have tried but we don't have many ideas,share a personal practice of meeting friends in parks or public spaces while following guidelines,,,,,,,,
rs_semblind_3bf763b6ee2024d277b128cb,"supporter: There is a way to connect virtually in a fun way, i've tried doing cocktail tasting and wine tasting, a virtual cooking class.
seeker: really? i've never heard of that
supporter: It's very fun! You can find a wine list online and have everyone go get the same bottles. You can download tasting notes and instructions. It's really fun!!!
seeker: how do find such chats?
supporter: For my grandmas 80thi birthday, we hired a chef to do a cooking class which was so fun.
seeker: what a great idea!",what a great idea!,offer encouragement and express optimism about the future,,,,,,,,
rs_semblind_e108568a2e145acbe5e2c7d9,"supporter: Hi , how are you?
seeker: tired, how about you?
supporter: Good afternoon
supporter: Why your tired?
seeker: Is it afternoon where you are?
seeker: I'm still waking up, should have more coffee. And, I am just always tired, tired of everything these days","Is it afternoon where you are?
I'm still waking up, should have more coffee. And, I am just always tired, tired of everything these days",ask about the user's work hours,,,,,,,,
rs_semblind_54885b5bd45328b4db5121cb,"supporter: So you feel that life was more simple when you were still in high school?
seeker: Yes, schoolwork wise. Now, I can never stay on top.
supporter: I think that it is quite usual to feel a bit disorientated when transitioning from school to college. It is strange to feel like an adult all of a sudden
seeker: Do you have any experience with that?
supporter: Yes I do. It took me quite a long time to adjust to college in my first year too.
seeker: Woah, I am sorry it was rough for you.","Woah, I am sorry it was rough for you.",share a personal experience of struggling after transitioning to college,,,,,,,,
rs_semblind_cbe80c116ed10a5a95e79102,"supporter: I good, how are you feeling?
seeker: I am worried that COVID-19 has made me depressed. I am usually a well mannered, even personality but I find myself impatient and possibly getting depressed.
supporter: So you think that COVID-19 has made you depressed? Could there be anything else that could be bothering you?
seeker: Possibly... I think the remote learning of my kids and the iability to leave the house or go out, is making me sadder than normal.
supporter: I completely understand where you are coming from there. I feel like remote learning takes away from some of the social aspects of life that need to happen in order for a healthy life.
seeker: I am also worried that I am not playing the political game well. I feel like I am too straight forward, not rude, but I should play politics more to get ahead.","I am also worried that I am not playing the political game well. I feel like I am too straight forward, not rude, but I should play politics more to get ahead.",ask if the user interacts with their friends currently,,,,,,,,
rs_semblind_1a4bd586368006e422d0190c,"seeker: I am doing alright, and yeah I did type in the description. Do you want me to tell you what I typed?
supporter: If you're willing to share, please.
seeker: So I'm frustrated with an ex-friend right now. I lived with her and 2 other friends and she just moved out the day before rent was due and then blocked us on everything so we couldn't ask her to pay her rent. So I'm pretty frustrated, but also sad that a friend would do that, yanno?
supporter: ouch. that sounds like it really hurts. how are you feeling about that? betrayed? sad? mad?
seeker: All of the above reallu
seeker: really","All of the above reallu
really",acknowledge the difficulty of moving due to financial hardship,,,,,,,,
rs_semblind_46279cc7a72f3e1cabdd4cb5,"supporter: are your classes online in person
seeker: A mixture. I currently have 2 online classes and 2 face-to-face ones.
supporter: So you have a full schedule
supporter: Are these mandatory classes for your degree
supporter: May I aks what your major is
seeker: Yes, I am in a full schedule. The class I might fail is mandatory for my Computer Science degree. That is why I am so concerned.","Yes, I am in a full schedule. The class I might fail is mandatory for my Computer Science degree. That is why I am so concerned.",mention that online study has advantages,,,,,,,,
rs_semblind_6cb9ec8d1275134980ae49fa,"supporter: That's a hard situation to be in. Are you isolating due to the pandemic?
seeker: I have been isolated for 2 years now ever since my wife decided to sneak out in the middle of the night and run away
supporter: That's really rough. It sounds like you did not get to have any closure whatsoever.
seeker: yeah what a peach she was, at least she didnt murder me like my brother did to my mom
supporter: There's a lot of dark stuff happening in and around your life. Do you have any things that you like to do on your own that calm you down?
seeker: drinking is the only thing that takes the pain away",drinking is the only thing that takes the pain away,share a personal experience of enjoying a specific show,,,,,,,,
rs_semblind_2a262c498ebdf96433997a9d,"supporter: So are you doubting that you made the right decision or are you just feeling sadness at the loss you are feeling right now
seeker: I'm mainly doubting my decision and I know there's nothing I can do about it
supporter: You must have had good reason's to have made the decision to breakup and to have initiated it. Its normal to doubt yourself afterwards. You may want to remind yourself of the reasons that you came to your decision you did. Im sure the reasons are still valid
seeker: I did it because I'm trying to focus on self-improvement but looking back now, there's no reason I couldn't have improved myself with my partner
supporter: So you felt the need to have some time to fucus on your own goals and growth and now you feel like you could have stayed in the relationship and you are doubting that you needed to take the step of breaking up. In my experience at times we need to be single for self growth and I have found that personal growth usual thrives when I am single.
seeker: That's what I hope for. I just can't get over missing my partner because they were great to me, I just needed to be alone.","That's what I hope for. I just can't get over missing my partner because they were great to me, I just needed to be alone.",share a personal experience of going through a difficult breakup,,,,,,,,
rs_semblind_072938d94b62e3089e9b84f1,"supporter: Hello there! How are you doing?
seeker: Hello. Not so well. I have a very stressful job situation right now.",Hello. Not so well. I have a very stressful job situation right now.,share that it is a difficult time to be job hunting,,,,,,,,
rs_semblind_6e229dc0629913ab2bcb9d4d,"seeker: I agree. She made me watch them have sex once, it was sick.
seeker: Can a therapist help me with that?
seeker: Are you still there sir?
supporter: Sorry i was having wifi issues
seeker: So what should i do?
seeker: I think I need to have the threesome with them. She would like to get spitroasted, then I can get her back.","So what should i do?
I think I need to have the threesome with them. She would like to get spitroasted, then I can get her back.",suggest talking to a professional counsellor,,,,,,,,
rs_semblind_c5fb5c3633a4f81350a629e6,"supporter: I hear you, feeling overwhelmed and like you don't know where to start can leave a person feeling stressd forsure!
supporter: Decluttering sounds like a great idea!
supporter: Sometimes taking baby steps is a good place to start!
seeker: but there are so many thinggs to do and ideas i have
supporter: Of course! It can feel so stressful when we have all these little things we want to do but don't know where to start!
seeker: should i start in one room or one group of things and collect them from all the rooms?",should i start in one room or one group of things and collect them from all the rooms?,acknowledge the difficulty of starting tasks,,,,,,,,
rs_semblind_fae83f2477985ab18eb211fa,"seeker: No, thank heavens. My government is handling things a bit better here in Canada.
seeker: Being out of work is tough, but at the same time I get a bunch of time to myself.
supporter: I'm jealous. hehe I often wonder what our friends to the north are going through. I'm glad to see you reaching out too. That's awesome!
seeker: It feels good to reach out and at least talk to someone about something to be honest.
supporter: I know the feeling and especially in these times. It seems things are looking up though with a vaccine coming soon. Getting outside and reaching out is definitely the right thing to do. Soon things will be back to normal!
seeker: That's what I'm hoping for... It looks like there is finally light at the end of the tunnel.",That's what I'm hoping for... It looks like there is finally light at the end of the tunnel.,recognize the difficulty of remembering self-care during stressful times,,,,,,,,
rs_semblind_268a18d4dff5bc5b2705e189,"seeker: It is more or less that I got the middle man rate
seeker: Pissed me right off
supporter: Tell me what happened. That sounds horrible
seeker: Well, I ordered my normal uhm, 'package' from my homie... Well he just took off as normal and came back in a few hours.
seeker: We agreed on n160 for the whole mess and HE JUST DECIDES that its now 185 cause he needed gas, and what ever..
seeker: Nah man, I already fill your tank and food and he can grab some fries from the bag when he gets here.","Well, I ordered my normal uhm, 'package' from my homie... Well he just took off as normal and came back in a few hours.
We agreed on n160 for the whole mess and HE JUST DECIDES that its now 185 cause he needed gas, and what ever..
Nah man, I already fill your tank and food and he can grab some fries from the bag when he gets here.",paraphrase the user's financial concern to confirm understanding,,,,,,,,
rs_semblind_33798eaae75f9e9888dac021,"seeker: i cant go back to uni due to finacial issue
supporter: Good afternoon. How may I assist you?
seeker: good afternnon.
supporter: What is unit? Are talking school
seeker: as i stated i had to cut university short and i feel like am going to finish old",as i stated i had to cut university short and i feel like am going to finish old,ask about barriers preventing task completion,,,,,,,,
rs_semblind_3915d7328fa049f6230cbe8d,"supporter: Thank you, I would like to be able to help you but do not know what the problem is right now
seeker: I have this friend who is now on the opposite coast. We were out of touch for 15 years, but recently reconnected. We've been texting. But now he's demanding an apology, and it's completely unreasonable...
supporter: Ah I see .. you feel as though you friend is dragging up things from the past which are no longer relevant to your friendship?
seeker: No, not at all. It's new stuff.
supporter: Oh I am sorry, I misunderstood. Can you tell me a little about the situation?
seeker: We've been texting about politics, among other things. And we completely agree on the subject - that's not the issue. But I put up with his sort of acerbic wit - I ignore little put-downs, because I know that's just him...","We've been texting about politics, among other things. And we completely agree on the subject - that's not the issue. But I put up with his sort of acerbic wit - I ignore little put-downs, because I know that's just him...",share a personal experience about maintaining a close friendship despite infrequent communication,,,,,,,,
rs_semblind_cba524d7ac158c6ba96dd3d2,"supporter: Hello there, how is life treating you?
seeker: Hello! Life is treating me fair, what about you?
supporter: Well, I've been a bit worried this year due to Covid and everything. Have you been worrying about anything?
seeker: Yes, not covid tho. Mostly, it's academics. It paralyses me.
supporter: Do you work in academia then? Or are you a student?
seeker: I am a college student, and I miss my high school days.","I am a college student, and I miss my high school days.",acknowledge the user's feelings by restating their experience,,,,,,,,
rs_semblind_c84b1813a2a773583e747971,"seeker: thank you :) you sound like a nice person
supporter: yes , Thanks
seeker: can you tell me where you are? I am in the US, in Illinois
supporter: I'm in London
seeker: I hope you are real. It is good to connect with someone else!
seeker: Cool!!! I would love to hear your accent, lol","I hope you are real. It is good to connect with someone else!
Cool!!! I would love to hear your accent, lol",acknowledge that the current job situation is better than nothing,,,,,,,,
rs_semblind_ded240d6ddf676b56f059180,"supporter: So, 2 years should be long enough to know if your partner has been cheating.
seeker: What do you mean exactly?
supporter: Are you someone who trusts people? I think that most men would fess up about it.
seeker: I guess all people are different. I generally trust people easily.
supporter: Does he show affection to you? If he is adamant about loving you, then, it may be false allegations.
seeker: That is true. He is but, has been distant lately.","That is true. He is but, has been distant lately.",acknowledge the duration of the relationship as significant,,,,,,,,
